command|status|accept/ignore|step_time|step_num|step_length|side_step_length|step_angle_rad|logtime|
expanded left||ignore|5|1|0.05|0.05|0.05|0:0:18|
expanded right||ignore|5|1|0.05|0.05|0.05|0:0:18|
centered left||ignore|5|1|0.02|0.05|0.1|0:0:21|
centered right||ignore|5|1|0.02|0.05|0.1|0:0:22|
centered right||ignore|5|1|0.02|0.05|0.1|0:0:23|
turn left||ignore|5|2|0.1|0.05|0.1|0:0:24|
turn right||ignore|5|2|0.1|0.05|0.1|0:0:24|
left||ignore|5|2|0.1|0.05|0.1|0:0:28|
right||ignore|5|2|0.1|0.05|0.1|0:0:29|
forward||ignore|5|2|0.1|0.05|0.1|0:0:30|
backward||ignore|5|2|0.1|0.05|0.1|0:0:30|
stop||ignore|5|2|0.1|0.05|0.1|0:0:33|
turn left||ignore|5|2|0.1|0.05|0.1|0:0:35|
turn right||ignore|5|2|0.1|0.05|0.1|0:0:36|
