command|status|accept/ignore|step_time|step_num|step_length|side_step_length|step_angle_rad|logtime|
forward||ignore|4.24896e-322|0|6.9216e-310|6.95335e-310|6.9216e-310|0:0:13|
forward||ignore|4.24896e-322|0|6.9216e-310|6.95335e-310|6.9216e-310|0:0:14|
forward||ignore|4.24896e-322|0|6.9216e-310|6.95335e-310|6.9216e-310|0:0:15|
forward||ignore|4.24896e-322|0|6.9216e-310|6.95335e-310|6.9216e-310|0:0:16|
forward||ignore|4.24896e-322|0|6.9216e-310|6.95335e-310|6.9216e-310|0:0:18|
right||ignore|4.24896e-322|0|6.9216e-310|6.95335e-310|6.9216e-310|0:0:19|
right||ignore|4.24896e-322|0|6.9216e-310|6.95335e-310|6.9216e-310|0:0:20|
right||ignore|4.24896e-322|0|6.9216e-310|6.95335e-310|6.9216e-310|0:0:21|
left||ignore|4.24896e-322|0|6.9216e-310|6.95335e-310|6.9216e-310|0:0:22|
left||ignore|4.24896e-322|0|6.9216e-310|6.95335e-310|6.9216e-310|0:0:23|
centered left||ignore|2.04109e-314|0|6.95335e-310|2.84068e-314|6.95335e-310|0:0:25|
centered left||ignore|2.04109e-314|0|6.95335e-310|2.84068e-314|6.95335e-310|0:0:26|
centered left||ignore|2.04109e-314|0|6.95335e-310|2.84068e-314|6.95335e-310|0:0:27|
turn left||ignore|4.24896e-322|0|6.9216e-310|6.95335e-310|6.9216e-310|0:0:29|
turn left||ignore|4.24896e-322|0|6.9216e-310|6.95335e-310|6.9216e-310|0:0:30|
turn right||ignore|4.24896e-322|0|6.9216e-310|6.95335e-310|6.9216e-310|0:0:32|
centered right||ignore|2.04109e-314|0|6.95335e-310|2.84068e-314|6.95335e-310|0:0:34|
