command|status|accept/ignore|step_time|step_num|step_length|side_step_length|step_angle_rad|logtime|
backward||ignore|3.3274e-317|0|6.91757e-310|4.24896e-322|4.74303e-322|0:0:20|
forward||ignore|3.3274e-317|0|6.91757e-310|4.24896e-322|4.74303e-322|0:0:23|
right||ignore|3.3274e-317|0|6.91757e-310|4.24896e-322|4.74303e-322|0:0:24|
left||ignore|3.3274e-317|0|6.91757e-310|4.24896e-322|4.74303e-322|0:0:25|
right||ignore|3.3274e-317|0|6.91757e-310|4.24896e-322|4.74303e-322|0:0:26|
backward||ignore|3.3274e-317|0|6.91757e-310|4.24896e-322|4.74303e-322|0:0:27|
left||ignore|3.3274e-317|0|6.91757e-310|4.24896e-322|4.74303e-322|0:0:28|
forward||ignore|3.3274e-317|0|6.91757e-310|4.24896e-322|4.74303e-322|0:0:29|
right||ignore|3.3274e-317|0|6.91757e-310|4.24896e-322|4.74303e-322|0:0:30|
left||ignore|3.3274e-317|0|6.91757e-310|4.24896e-322|4.74303e-322|0:0:31|
left||ignore|3.3274e-317|0|6.91757e-310|4.24896e-322|4.74303e-322|0:0:32|
forward||ignore|2|2|0.15|0.05|0.3|0:0:55|
right||ignore|2|2|0.15|0.05|0.3|0:0:57|
backward||ignore|2|2|0.15|0.05|0.3|0:0:58|
left||ignore|2|2|0.15|0.05|0.3|0:0:59|
turn left||ignore|2|2|0.15|0.05|0.3|0:1:0|
turn right||ignore|2|2|0.15|0.05|0.3|0:1:1|
turn left||ignore|5|2|0.15|0.05|0.3|0:1:11|
forward||ignore|5|2|0.15|0.05|0.3|0:1:13|
right||ignore|5|2|0.15|0.05|0.3|0:1:14|
turn right||ignore|5|2|0.15|0.05|0.3|0:1:14|
centered left||ignore|5|1|0.05|0.1|0.45|0:1:16|
centered right||ignore|5|1|0.05|0.1|0.45|0:1:17|
