command|status|accept/ignore|step_time|step_num|step_length|side_step_length|step_angle_rad|logtime|
forward||ignore|6.95279e-310|0|0|6.92301e-310|6.92301e-310|0:0:5|
forward||ignore|6.95279e-310|0|0|6.92301e-310|6.92301e-310|0:0:6|
forward||ignore|5|2|0.1|0.05|0.1|0:0:11|
left||ignore|5|2|0.1|0.05|0.1|0:0:12|
right||ignore|5|2|0.1|0.05|0.1|0:0:13|
backward||ignore|5|2|0.1|0.05|0.1|0:0:14|
stop||ignore|5|2|0.1|0.05|0.1|0:0:16|
stop||ignore|5|2|0.1|0.05|0.1|0:0:17|
expanded left||ignore|5|1|0.05|0.05|0.05|0:0:19|
expanded left||ignore|5|1|0.05|0.05|0.05|0:0:19|
expanded right||ignore|5|1|0.05|0.05|0.05|0:0:20|
expanded right||ignore|5|1|0.05|0.05|0.05|0:0:21|
turn left||ignore|5|2|0.1|0.05|0.1|0:0:23|
turn right||ignore|5|2|0.1|0.05|0.1|0:0:25|
turn right||ignore|5|2|0.1|0.05|0.1|0:0:25|
turn left||ignore|5|2|0.1|0.05|0.1|0:0:26|
turn left||ignore|5|2|0.1|0.05|0.1|0:0:27|
centered left||ignore|5|1|0.02|0.05|0.1|0:0:28|
centered left||ignore|5|1|0.02|0.05|0.1|0:0:29|
centered right||ignore|5|1|0.02|0.05|0.1|0:0:30|
centered right||ignore|5|1|0.02|0.05|0.1|0:0:31|
turn left||ignore|5|2|0.1|0.05|0.1|0:0:31|
turn right||ignore|5|2|0.1|0.05|0.1|0:0:32|
centered left||ignore|5|1|0.02|0.05|0.1|0:0:33|
centered right||ignore|5|1|0.02|0.05|0.1|0:0:34|
forward||ignore|5|2|0.1|0.05|0.1|0:2:2|
forward||ignore|5|2|0.1|0.05|0.1|0:2:3|
forward||ignore|10|2|0.1|0.05|0.1|0:2:17|
right||ignore|10|2|0.1|0.05|0.1|0:2:18|
left||ignore|10|2|0.1|0.05|0.1|0:2:19|
backward||ignore|10|2|0.1|0.05|0.1|0:2:19|
forward||ignore|5|2|0.1|0.05|0.1|0:2:33|
right||ignore|5|2|0.1|0.05|0.1|0:2:34|
backward||ignore|5|2|0.1|0.05|0.1|0:2:35|
left||ignore|5|2|0.1|0.05|0.1|0:2:36|
right||ignore|5|2|0.1|0.05|0.1|0:2:37|
forward||ignore|5|2|0.1|0.05|0.1|0:2:38|
left||ignore|5|2|0.1|0.05|0.1|0:2:38|
right||ignore|5|2|0.1|0.05|0.1|0:2:39|
backward||ignore|5|2|0.1|0.05|0.1|0:2:40|
